"County Name","District Name","School Name",middle_school_sum
Atlantic,"Hamilton Township School District","William Davies Middle School",1748
Atlantic,"Hamilton Township School District","George L. Hess Educational Complex",522
Hunterdon,"Hampton Borough School District","Hampton Borough School",19
Sussex,"Hardyston Township School District","Hardyston Township Middle School",237
Monmouth,"Henry Hudson Regional School District","Henry Hudson Regional School",109
Monmouth,"Henry Hudson Regional School District","Atlantic Highlands Elementary School",74
Monmouth,"Henry Hudson Regional School District","Highlands Elementary School",34
Cumberland,"Hopewell Township School District","Hopewell Crest",209
Ocean,"Lacey Township School District","Lacey Township Middle School",826
Ocean,"Lacey Township School District","Lanoka Harbor Elementary School",91
Ocean,"Lacey Township School District","Forked River Elementary School",88
Ocean,"Lacey Township School District","Cedar Creek Elementary School",81
Ocean,"Lakewood Township School District","Lakewood Middle School",783
Ocean,"Lakewood Township School District","Clifton Ave Grade School",262
Ocean,"Lavallette Borough School District","Lavallette Elementary School",50
Cumberland,"Lawrence Township School District","Myron L. Powell Elementary School",204
Ocean,"Little Egg Harbor Township School District","Frog Pond Elementary School",410
Gloucester,"Logan Township School District","Logan Middle School",217
Gloucester,"Logan Township School District","Logan Township Elementary School",80
Ocean,"Long Beach Island School District","Long Beach Island Elementary School",36
Warren,"Lopatcong Township School District","Lopatcong Township Middle School",319
"Cape May","Lower Cape May Regional School District","Richard M. Teitelman Middle School",382
Ocean,"Manchester Township School District","Manchester Township Middle School",594
Ocean,"Manchester Township School District","Manchester Township Elementary School",94
Ocean,"Manchester Township School District","Ridgeway Elementary School",68
Ocean,"Manchester Township School District","Whiting Elementary School",31
Ocean,"Manchester Township School District","Manchester Regional Day School",11
Salem,"Mannington Township School District","Mannington Township Elementary School",56
Burlington,"Mansfield Township School District","Mansfield Township Elementary School",160
Gloucester,"Mantua Township School District","J. Mason Tomlin Elementary School",342
Gloucester,"Mantua Township School District","Centre City Elementary School",3
Atlantic,"Margate City School District","Eugene A. Tighe Middle School",155
Monmouth,"Matawan-Aberdeen Regional School District","Matawan-Aberdeen Middle School",805
Monmouth,"Matawan-Aberdeen Regional School District","Lloyd Road Elementary School",264
Cumberland,"Maurice River Township School District","Maurice River Township School",163
Morris,"Mine Hill Township School District","Canfield Avenue School",81
Middlesex,"Monroe Township School District","Monroe Township Middle School",1531
Middlesex,"Monroe Township School District","Applegarth Elementary School",177
Middlesex,"Monroe Township School District","Brookside Elementary School",145
Middlesex,"Monroe Township School District","Woodland School",140
Middlesex,"Monroe Township School District","Monroe Township High School",8
Sussex,"Montague Township School District","Montague Township School",118
Atlantic,"Mullica Township School District","Mullica Township Middle School",238
Gloucester,"National Park Borough School District","National Park School",73
Monmouth,"Neptune City School District","Woodrow Wilson",81
Monmouth,"Neptune Township School District","Neptune Middle School",586
Monmouth,"Neptune Township School District","Midtown Community Elementary School",66
Monmouth,"Neptune Township School District","Summerfield Elementary School",62
Monmouth,"Neptune Township School District","Gables Elementary School",43
Monmouth,"Neptune Township School District","Green Grove Elementary School",32
Monmouth,"Neptune Township School District","Shark River Hills Elementary School",24
Burlington,"New Hanover Township","New Hanover Township School",79
Middlesex,"North Brunswick Township School District","Linwood School",762
Middlesex,"North Brunswick Township School District","North Brunswick Twp. Middle School",713
Atlantic,"Northfield City School District","Northfield Community Middle School",378
"Cape May","Ocean City School District","Ocean City Intermediate School",272
Ocean,"Ocean Township School District","Frederic A. Priff Elementary School",240
Sussex,"Ogdensburg Borough School District","Ogdensburg Borough School",120
Salem,"Oldmans Township School District","Oldmans Township School",139
Bergen,"Palisades Park School District","Palisades Park Jr-Sr High School",245
Bergen,"Palisades Park School District","Lindbergh Elementary School",223
Passaic,"Passaic City School District","Passaic Gifted And Talented Academy School No. 20",432
Passaic,"Passaic City School District","Muhammad Ali School Number 23",420
Passaic,"Passaic City School District","William B. Cruise Memorial School No. 11",407
Passaic,"Passaic City School District","Ellen Ochoa School Number 22",407
Passaic,"Passaic City School District","Martin Luther King, Jr. School No. 6",299
Passaic,"Passaic City School District","Daniel F. Ryan Elementary School No. 19",291
Passaic,"Passaic City School District","Mario Drago School No. 3",239
Passaic,"Passaic City School District","Passaic Academy For Science And Engineering",204
Passaic,"Passaic City School District","Passaic Preparatory Academy",171
Passaic,"Passaic City School District","Thomas Jefferson School No. 1",166
Passaic,"Passaic City School District","Theodore Roosevelt School No. 10",106
Burlington,"Pemberton Township School District","Helen A. Fort Middle School",574
Burlington,"Pemberton Township School District","Marcus W. Newcomb Middle School",319
Burlington,"Pemberton Township School District","Denbo Crichton School",161
Burlington,"Pemberton Township School District","Samuel T. Busansky School",85
Burlington,"Pemberton Township School District","Fort Dix Elementary School",22
Salem,"Pennsville School District","Pennsville Middle School",430
Salem,"Pennsville School District","Penn Beach Elementary",119
Salem,"Pennsville School District","Central Park Elementary School",1
Ocean,"Pinelands Regional School District","Pinelands Regional Jr. High School",478
Salem,"Pittsgrove Township School District","Pittsgrove Township Middle School",485
Ocean,"Plumsted Township School District","New Egypt High School",173
Ocean,"Plumsted Township School District","Dr. Gerald H. Woehr Elementary School",172
